㤱	42303.050:fù,dòu
㤲	42300.050:qiè
㤳	42303.060:běi
㤴	42302.130:chè,shè,dié
㤶	42303.090:máng,màng
㤷	42306.070:hān
㤸	42302.110:xì
㤹	42302.140:qiú,jiù
㤺	42298.090,42306.130:huǎng
㤿	42314.090:yān
㥀	42313.100:zhí,dé
㥂	42315.030:tè
㥄	42313.040:líng
㥅	42317.060:shòu
㥆	42319.090:tuì
㥇	42314.120:cán
㥈	42311.040:dié
㥊	42317.090:péng,pēng
㥋	42311.120:yī
㥌	42318.010:jú
㥏	42315.090:tiǎn
㥒	42316.070:cǎi,cāi
㥓	42314.070:qī
㥔	42318.110:yù
㥖	42311.190:cōng
㥚	42329.080:yú,yǔ
㥛	42319.110:jí,kè
㥜	42328.040:wèi
㥝	42332.030:mǐ
㥞	42330.040:suì
㥟	42332.150:xié
㥠	42332.060:xū
㥡	42332.020:chì
㥢	42330.030:qiú,jiū
㥥	42328.010:yú
㥨	42325.080:shuì,wěi
㥩	42325.170:duǒ
㥬	42339.010:páng
㥮	42338.110:zhòu,chǎo
㥯	42334.050:yǐn
㥰	42337.090:sāo
㥲	42334.090:chēn,shèn
㥳	42336.070:yuán
㥴	42337.140:yí,tí
㥶	42334.170:sè,qiān
㥹	42334.140:fěn
㥼	42344.080:yìn,yān
㥽	42344.060:cè,zé
㥾	42344.070:nì
㦀	42347.030:féng
㦁	42341.100:lián,liǎn
㦃	42347.070:chǎn
㦄	42343.130:má
㦅	42344.180:diē,dì,chài
㦆	42345.130:hū,xiā
㦇	42347.110:lù
㦊	42353.050:huá
㦋	42353.120:zhā
㦌	42350.100:hū,xù
㦎	42356.130:huò
㦏	42357.080:sǔn,xuàn
㦐	42352.050:nì
㦑	42352.100:xiàn,hān
㦒	42354.110:lí
㦓	42355.130:xiàn,rǎn
㦕	42348.070:lóng
㦗	42360.050:jīn,jìn
㦘	42358.110:jī
㦚	64043.090:biǎn
㦛	42358.100:yǔ,yú
㦜	42364.100:huò,xuè
㦟	42363.130:mái
㦢	42367.110:jié
㦣	42368.070:wèi
㦥	42370.030:xuān,xiǎn
㦦	42370.050:xì
㦩	42370.060:yǐn
㦪	42370.190:xiè
㦫	42372.120:zā
㦬	42372.110:luǒ
㦭	42373.050:líng
㦰	21403.020:jiān
㦱	21402.030:wǒ
㦴	21406.030:gé
㦵	21405.160:zhū
㦶	21405.120:dié,yǒng
㦹	21408.170:yáng
㦺	21410.010:rù
㦼	21411.030:shuàng
㦽	21413.110:yù
㦿	32258.050:qiǎn,hù
㧀	32258.010:jí
㧁	32261.060:qù,hé
㧃	31827.070:shōu,jiū
㧄	31827.080:qiǎn
㧅	31827.090:mù,dāo
㧆	31830.020:jīn
㧇	31830.010:mǎo
㧉	31837.090:gài,hài,yè
㧊	31834.030:pō,bá
㧋	31834.070:xuǎn
㧌	31838.010:mào
㧍	31844.010:fǎng,bēng
㧎	31835.020:yá,yà,qiā
㧒	31858.060:yù
㧓	31855.040:guā
㧔	31850.020:guài
